provincia,canton,tipo,archivos,estado,prioridad,indice,porcentaje,plan_localizado,informe,informe_pendiente,F07,verificables,brechas,acciones,keywords
Bolívar,Caluma,Cantonal,6,CONCORDANCIA MEDIA,BAJA,15,72,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Formulario F01; Inundación/anegamiento; Erosión/socavación; Infraestructura expuesta; Deslizamiento
Bolívar,Chillanes,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Inundación/anegamiento; Desbordamiento; Deslizamiento; Infraestructura expuesta; COE / coordinación; Alojamiento temporal; Rutas/evacuación
Bolívar,Chimbo,Cantonal,6,CONCORDANCIA MEDIA,BAJA,15,70,True,True,True,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Erosión/socavación; Alojamiento temporal; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Seguimiento F07; Rutas/evacuación; Deslizamiento
Bolívar,Echeandía,Cantonal,4,BAJA/PARCIAL,BAJA,30,52,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Mitigación/dragado; Mitigación/obras; Formulario F01; Formulario F02; Seguimiento F07
Bolívar,Gobierno provincial de Bolivar,Provincial,3,ALTA CONCORDANCIA,MEDIA,58,83,False,True,False,False,False,Plan final no localizado en el paquete; No se identifica guía/seguimiento F07; No se identifica lista de verificables mínimos,Solicitar carga del plan final firmado o versión vigente; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Desbordamiento; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Deslizamiento; Alojamiento temporal
Bolívar,Guaranda,Cantonal,7,CONCORDANCIA MEDIA,BAJA,15,74,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Recursos/maquinaria; Formulario F01; Deslizamiento; Infraestructura expuesta; Desbordamiento; Erosión/socavación; Formulario F02
Bolívar,Las Naves,Cantonal,7,CONCORDANCIA MEDIA,BAJA,15,76,True,True,True,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Infraestructura expuesta; Recursos/maquinaria; Mitigación/dragado; Mitigación/obras; Deslizamiento; Formulario F01
Bolívar,Provincial,Provincial,1,SIN DATO,ALTA,73,,False,False,False,False,False,Plan final no localizado en el paquete; Sin porcentaje técnico extraíble; No se identifica guía/seguimiento F07; No se identifica lista de verificables mínimos,Solicitar carga del plan final firmado o versión vigente; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Desbordamiento; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria
Bolívar,San Miguel,Cantonal,4,PENDIENTE,ALTA,80,,False,True,True,True,True,Plan final no localizado en el paquete; Informe de valoración pendiente; Sin porcentaje técnico extraíble,Solicitar carga del plan final firmado o versión vigente; Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación
Galápagos,Isabela,Cantonal,4,PENDIENTE,ALTA,80,,False,True,True,True,True,Plan final no localizado en el paquete; Informe de valoración pendiente; Sin porcentaje técnico extraíble,Solicitar carga del plan final firmado o versión vigente; Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07
Galápagos,San Cristóbal,Cantonal,4,PENDIENTE,ALTA,80,,False,True,True,True,True,Plan final no localizado en el paquete; Informe de valoración pendiente; Sin porcentaje técnico extraíble,Solicitar carga del plan final firmado o versión vigente; Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07
Galápagos,Santa Cruz,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Infraestructura expuesta; Recursos/maquinaria
Guayas,Alfredo Baquerizo Moreno (Jujan),Cantonal,7,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Infraestructura expuesta; Inundación/anegamiento; Desbordamiento; Formulario F01; Formulario F02; Deslizamiento; Recursos/maquinaria
Guayas,Balao,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Infraestructura expuesta
Guayas,Balzar,Cantonal,5,BAJA/PARCIAL,BAJA,30,55,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Formulario F01; Inundación/anegamiento; Recursos/maquinaria; Formulario F02; Desbordamiento; Infraestructura expuesta
Guayas,Colimes,Cantonal,4,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Infraestructura expuesta
Guayas,Daule,Cantonal,5,CONCORDANCIA MEDIA,BAJA,15,70,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Infraestructura expuesta; Formulario F01; Seguimiento F07; Inundación/anegamiento; Erosión/socavación; COE / coordinación; Alojamiento temporal; Rutas/evacuación
Guayas,Durán,Cantonal,3,PLAN LOCALIZADO SIN VALORACIÓN,BAJA,20,,True,False,False,True,True,Sin porcentaje técnico extraíble,Validar alojamientos temporales y puntos seguros,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Inundación/anegamiento; Deslizamiento
Guayas,El Empalme,Cantonal,4,PLAN LOCALIZADO SIN VALORACIÓN,BAJA,20,,True,True,False,True,True,Sin porcentaje técnico extraíble,Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Deslizamiento; Infraestructura expuesta; Recursos/maquinaria; Formulario F01; Formulario F02; Desbordamiento
Guayas,El Triunfo,Cantonal,4,PENDIENTE,ALTA,80,,False,True,True,True,True,Plan final no localizado en el paquete; Informe de valoración pendiente; Sin porcentaje técnico extraíble,Solicitar carga del plan final firmado o versión vigente; Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07
Guayas,General Antonio Elizalde (Bucay),Cantonal,5,PENDIENTE,ALTA,75,,False,True,True,True,True,Plan final no localizado en el paquete; Informe de valoración pendiente; Sin porcentaje técnico extraíble,Solicitar carga del plan final firmado o versión vigente; Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación
Guayas,Gobierno Provincial Del Guayas,Provincial,6,SIN DATO,MEDIA,68,,False,True,False,False,False,Plan final no localizado en el paquete; Sin porcentaje técnico extraíble; No se identifica guía/seguimiento F07; No se identifica lista de verificables mínimos,Solicitar carga del plan final firmado o versión vigente; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Mitigación/dragado; Mitigación/obras
Guayas,Guayaquil,Cantonal,13,ALTA CONCORDANCIA,BAJA,5,88,True,True,True,True,True,Sin brecha documental crítica con la información indexada,Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Desbordamiento; Deslizamiento; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Seguimiento F07; Erosión/socavación; Formulario F01
Guayas,Isidro Ayora,Cantonal,9,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Desbordamiento; Infraestructura expuesta; Recursos/maquinaria
Guayas,Lomas de Sargentillo,Cantonal,4,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07
Guayas,Marcelino Maridueña,Cantonal,8,CONCORDANCIA MEDIA,BAJA,15,73,True,True,True,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Desbordamiento; Infraestructura expuesta; Recursos/maquinaria; Deslizamiento
Guayas,Milagro,Cantonal,3,CONCORDANCIA MEDIA,MEDIA,50,72,False,True,False,True,True,Plan final no localizado en el paquete; Valoración inferior a 80%; requiere ajuste técnico,Solicitar carga del plan final firmado o versión vigente; Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Inundación/anegamiento; Desbordamiento; Mitigación/obras; Formulario F01
Guayas,Naranjal,Cantonal,6,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Infraestructura expuesta
Guayas,Naranjito,Cantonal,4,PENDIENTE,ALTA,80,,False,True,True,True,True,Plan final no localizado en el paquete; Informe de valoración pendiente; Sin porcentaje técnico extraíble,Solicitar carga del plan final firmado o versión vigente; Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación
Guayas,Nobol,Cantonal,7,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Infraestructura expuesta; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Mitigación/obras
Guayas,Palestina,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Inundación/anegamiento; Infraestructura expuesta
Guayas,Pedro Carbo,Cantonal,5,ALTA CONCORDANCIA,BAJA,5,86,True,True,False,True,True,Sin brecha documental crítica con la información indexada,Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Infraestructura expuesta; COE / coordinación; Formulario F01; Seguimiento F07; Alojamiento temporal; Rutas/evacuación
Guayas,Playas,Cantonal,5,BAJA/PARCIAL,BAJA,30,50,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Formulario F01; Seguimiento F07; Inundación/anegamiento; Infraestructura expuesta; Recursos/maquinaria; Mitigación/dragado
Guayas,Salitre,Cantonal,4,BAJA/PARCIAL,BAJA,30,55,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Infraestructura expuesta; Formulario F01
Guayas,Samborondón,Cantonal,8,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Infraestructura expuesta; Inundación/anegamiento
Guayas,Santa Lucía,Cantonal,8,ALTA CONCORDANCIA,BAJA,5,82,True,True,True,True,True,Sin brecha documental crítica con la información indexada,Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Recursos/maquinaria; Infraestructura expuesta
Guayas,Simón Bolívar,Cantonal,8,ALTA CONCORDANCIA,BAJA,5,87,True,True,True,True,True,Sin brecha documental crítica con la información indexada,Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Infraestructura expuesta; Inundación/anegamiento; Desbordamiento
Guayas,Yaguachi,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Inundación/anegamiento; Alojamiento temporal; Infraestructura expuesta; COE / coordinación; Rutas/evacuación
Los Ríos,Baba,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Alojamiento temporal; Infraestructura expuesta; COE / coordinación; Rutas/evacuación
Los Ríos,Babahoyo,Cantonal,5,CONCORDANCIA MEDIA,BAJA,15,78,True,True,True,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Infraestructura expuesta; Desbordamiento; Erosión/socavación; Deslizamiento
Los Ríos,Buena Fe,Cantonal,5,BAJA/PARCIAL,BAJA,30,62,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Formulario F01; Inundación/anegamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta; Recursos/maquinaria; Mitigación/obras; Formulario F02
Los Ríos,Mocache,Cantonal,4,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Infraestructura expuesta
Los Ríos,Montalvo,Cantonal,10,ALTA CONCORDANCIA,BAJA,5,83,True,True,False,True,True,Sin brecha documental crítica con la información indexada,Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta; Recursos/maquinaria; Mitigación/obras; Formulario F01
Los Ríos,Palenque,Cantonal,7,CONCORDANCIA MEDIA,BAJA,15,76,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Infraestructura expuesta; Formulario F01; Inundación/anegamiento; Recursos/maquinaria
Los Ríos,Puebloviejo,Cantonal,7,CONCORDANCIA MEDIA,BAJA,15,78,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Formulario F01; Seguimiento F07; Inundación/anegamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta; Recursos/maquinaria; Mitigación/obras; Formulario F02; Desbordamiento
Los Ríos,Quevedo,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta
Los Ríos,Quinsaloma,Cantonal,8,CRÍTICO,MEDIA,45,44,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Alojamiento temporal; Rutas/evacuación; Infraestructura expuesta; COE / coordinación; Recursos/maquinaria; Seguimiento F07; Desbordamiento; Erosión/socavación; Deslizamiento; Mitigación/obras
Los Ríos,Urdaneta,Cantonal,6,BAJA/PARCIAL,BAJA,30,60,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Mitigación/obras; Formulario F01; Formulario F02; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Infraestructura expuesta; Recursos/maquinaria
Los Ríos,Valencia,Cantonal,4,BAJA/PARCIAL,MEDIA,65,62,False,True,False,True,True,Plan final no localizado en el paquete; Valoración inferior a 80%; requiere ajuste técnico,Solicitar carga del plan final firmado o versión vigente; Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Inundación/anegamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta; Recursos/maquinaria; Mitigación/dragado; Mitigación/obras; Desbordamiento
Los Ríos,Ventanas,Cantonal,5,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Seguimiento F07; Alojamiento temporal; Rutas/evacuación; COE / coordinación; Inundación/anegamiento; Desbordamiento; Infraestructura expuesta; Recursos/maquinaria; Mitigación/obras
Los Ríos,Vinces,Cantonal,6,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Infraestructura expuesta; Inundación/anegamiento; Desbordamiento
Santa Elena,Gobierno Provincial Santa Elena,Provincial,2,SIN DATO,ALTA,73,,False,False,False,False,False,Plan final no localizado en el paquete; Sin porcentaje técnico extraíble; No se identifica guía/seguimiento F07; No se identifica lista de verificables mínimos,Solicitar carga del plan final firmado o versión vigente,COE / coordinación
Santa Elena,La Libertad,Cantonal,6,PLAN LOCALIZADO SIN VALORACIÓN,MEDIA,45,,True,True,True,True,True,Informe de valoración pendiente; Sin porcentaje técnico extraíble,Completar valoración técnica del plan; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Inundación/anegamiento; Infraestructura expuesta; COE / coordinación; Seguimiento F07; Alojamiento temporal; Rutas/evacuación
Santa Elena,Salinas,Cantonal,6,BAJA/PARCIAL,BAJA,30,63,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Seguimiento F07; Formulario F01; Formulario F02; Inundación/anegamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta; Recursos/maquinaria
Santa Elena,Santa Elena,Cantonal,5,CRÍTICO,MEDIA,45,45,True,True,False,True,True,Valoración inferior a 80%; requiere ajuste técnico,Corregir componentes observados y anexos/verificables; Validar alojamientos temporales y puntos seguros; Cruzar con F02 de infraestructura expuesta,Alojamiento temporal; Rutas/evacuación; COE / coordinación; Formulario F01; Formulario F02; Seguimiento F07; Inundación/anegamiento; Desbordamiento; Erosión/socavación; Deslizamiento; Infraestructura expuesta
